adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,leukocyte,liver,lung,lymph_node,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,micropeptide_aa_avg,genebody_SINE,genebody_LTR,genebody_LINE,genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me1,genebody_Gm12878H3k4me3,genebody_H1hescH3k27ac,genebody_H1hescH3k4me1,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me1,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS1k_K562H3k4me3,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k27ac,TSS5k_H1hescH3k4me1,TSS5k_H1hescH3k4me3,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,cancer-miRNA_targets,miRNA_targets,hbm_total_degree,hbm_cancer-protein_degree
0.11875,0.285,0.2375,0.11875,0.11875,0.0,0.0,0.0,0.31666700000000003,0.095,0.07916669999999999,0.095,0.0,0.0,0.095,0.095,0.0,3.0,0.0,0.0,1.6510200000000002,3.62144,2.05402,5.25432,18.8034,6.284680000000001,5.77252,12.7655,10.9186,0.9831270000000001,1.46088,1.0784799999999999,1.93333,1.58046,1.06074,4.39535,1.65593,1.04329,1.31915,3.11176,0.9741790000000001,1.40099,0.8888889999999999,1.59273,4.9892,4.42028,2.19407,0.0,0.0,113.0,0.0
0.0,0.0,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,79.0,8.0,4.0,6.0,1.19496,2.52487,1.66947,2.68486,4.28827,1.4138,2.44443,5.25684,2.4666099999999997,1.5235299999999998,3.7364900000000003,31.2784,22.3646,16.2002,12.8635,5.06999,8.75248,8.11176,5.08614,31.3519,12.398,29.114,3.47065,21.4541,3.90171,8.30804,2.6405,0.0,0.0,716.0,0.0
0.0,0.19,0.2375,0.0,0.11875,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.475,0.0,25.0,3.0,0.0,2.0,0.8222219999999999,1.42105,1.51627,1.8024200000000001,1.6842099999999998,1.6609200000000002,1.63059,1.15904,1.07692,0.8860290000000001,2.1202099999999997,1.4618,1.5457299999999998,1.38806,1.0752,1.2197799999999999,2.64571,1.5182200000000001,1.56154,1.12331,0.954485,1.09134,1.2454,4.87542,1.22079,1.39571,1.36042,0.0,0.0,1253.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,1.0,1.0,0.0,1.6087,1.84958,1.39704,2.51756,2.1891599999999998,1.37143,2.31185,1.7290599999999998,1.0599,1.59253,2.68483,0.994898,0.8888889999999999,1.85097,1.37037,1.35269,0.9361700000000001,1.55789,1.19987,1.5153,1.24017,1.23263,2.26303,1.12352,1.215,1.18454,1.37733,0.0,0.0,5455.0,15.0
0.11875,0.38,0.7125,0.0,0.11875,0.475,0.285,0.0,0.0,0.0,0.475,0.095,0.0,0.0,0.095,0.285,73.0,1.0,2.0,0.0,0.838951,1.2970899999999999,1.49452,1.2307700000000001,1.22024,1.2271100000000001,0.84,1.18563,1.6442700000000001,0.8705879999999999,2.18375,2.04019,1.5933700000000002,1.7181799999999998,0.905149,1.13121,1.30124,1.3419,1.78755,1.04134,1.7744900000000001,1.21965,1.81713,1.26316,1.63917,3.15974,1.8191700000000002,0.0,0.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,12.0,4.0,2.0,0.982116,1.82585,1.6785400000000001,3.2515099999999997,4.0071,1.56627,2.3381,1.97701,3.79351,0.845714,4.2224699999999995,1.63373,1.21919,2.7218299999999997,1.6444400000000001,1.41221,1.17391,1.26196,1.20915,1.60365,2.13978,1.7619,1.60233,1.25166,1.43401,1.47491,1.44285,0.0,0.0,5455.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.9961540000000001,1.16382,1.56364,3.3199300000000003,1.9031799999999999,1.03908,2.2360599999999997,1.13143,1.55793,1.0139,3.68456,1.56538,1.6037700000000001,1.35055,0.0,1.10351,2.95079,1.37856,1.4175,1.7209299999999998,1.6762299999999999,1.3282100000000001,1.14526,1.8042099999999999,1.7368299999999999,1.42079,1.51011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.11875,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.23333,1.19793,1.48918,2.74368,4.01946,1.3523,1.44986,1.4352200000000002,1.7756,1.3124200000000001,3.2238,1.37037,0.985707,1.05758,1.18785,0.960942,1.27152,1.24735,2.1011900000000003,1.64074,1.55666,1.9343700000000001,2.84932,1.15442,1.32572,1.72665,1.54725,0.0,0.0,90.0,0.0
0.11875,0.19,0.11875,0.11875,0.11875,0.0,0.0,0.0,0.0,0.0,0.07916669999999999,0.0,0.07916669999999999,0.0,0.095,0.095,0.0,2.0,3.0,3.0,1.07636,1.36361,2.1303,3.4591199999999995,4.12335,1.8712,1.77604,1.47718,1.4736799999999999,0.8705879999999999,1.82571,1.45226,0.884921,1.73964,1.3581299999999998,1.14228,1.22108,1.44492,1.41333,1.15625,2.20667,0.8705879999999999,1.40304,1.51742,1.14198,1.15904,1.32874,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932577,3.77224,2.97392,4.12956,1.48105,1.6214600000000001,0.99177,2.5163900000000003,1.5798299999999998,1.2081600000000001,3.7117,2.0956099999999998,1.98542,1.27053,1.07006,1.40347,1.71166,2.7033400000000003,1.4998799999999999,2.35643,2.1537900000000003,1.69793,2.41177,2.2562,1.85,2.0188200000000003,1.7721200000000001,0.0,0.0,0.0,0.0
