adipose_tissue,adrenal_gland,brain,breast,colon,heart,kidney,leukocyte,liver,lung,lymph_node,ovary,prostate_gland,skeletal_muscle_tissue,testis,thyroid_gland,micropeptide_aa_avg,genebody_SINE,genebody_LTR,genebody_LINE,genebody_Gm12878H3k27ac,genebody_Gm12878H3k4me1,genebody_Gm12878H3k4me3,genebody_H1hescH3k27ac,genebody_H1hescH3k4me1,genebody_H1hescH3k4me3,genebody_K562H3k27ac,genebody_K562H3k4me1,genebody_K562H3k4me3,TSS1k_Gm12878H3k27ac,TSS1k_Gm12878H3k4me1,TSS1k_Gm12878H3k4me3,TSS1k_H1hescH3k27ac,TSS1k_H1hescH3k4me1,TSS1k_H1hescH3k4me3,TSS1k_K562H3k27ac,TSS1k_K562H3k4me1,TSS1k_K562H3k4me3,TSS5k_Gm12878H3k27ac,TSS5k_Gm12878H3k4me1,TSS5k_Gm12878H3k4me3,TSS5k_H1hescH3k27ac,TSS5k_H1hescH3k4me1,TSS5k_H1hescH3k4me3,TSS5k_K562H3k27ac,TSS5k_K562H3k4me1,TSS5k_K562H3k4me3,cancer-miRNA_targets,miRNA_targets,hbm_total_degree,hbm_cancer-protein_degree
0.0,0.0,0.0,0.0,0.35625,0.158333,0.0,0.0,0.0,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,13.0,1.8901400000000002,2.19308,1.96305,3.22515,2.52936,1.44277,1.6781599999999999,1.28135,2.05555,0.916667,3.3391300000000004,1.07733,1.04312,1.7249599999999998,1.59771,1.55789,1.06956,2.7389900000000003,1.30226,1.11315,1.7675900000000002,1.26696,1.41547,1.71948,1.4207100000000001,8.05691,2.61817,0.0,0.0,68.0,0.0
0.0,0.0,0.0,0.11875,0.0,0.0,0.0,0.0,0.31666700000000003,0.0,0.0,0.19,0.07916669999999999,0.0,0.38,0.0,0.0,0.0,0.0,0.0,1.8891799999999999,2.56313,1.51651,1.6842599999999999,6.356669999999999,2.09692,1.3230000000000002,0.996527,1.1865299999999999,2.34536,1.30618,6.9767399999999995,1.0,1.37455,0.986667,1.4191799999999999,1.0702200000000002,0.0,1.67793,0.910744,1.18519,3.1368099999999997,2.72905,1.00245,23.386,3.95775,2.94355,0.0,0.0,168.0,1.0
1.1875,1.9,0.83125,1.1875,0.7125,3.16667,0.95,0.678571,1.26667,0.475,0.791667,1.9,0.554167,0.95,0.95,1.9,0.0,9.0,3.0,1.0,1.14392,1.51795,1.4532399999999999,2.5735799999999998,2.1407700000000003,1.34792,2.5305299999999997,2.1818,2.06268,0.959259,3.01621,1.55273,1.26316,2.90452,1.32,1.4924899999999999,1.53865,1.5661200000000002,1.06907,3.3042800000000003,1.8095299999999999,1.0254,1.79405,0.9882559999999999,1.18682,1.5739,1.33713,5.0,6.0,26.0,0.0
0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.1935200000000001,1.58703,2.0935799999999998,2.78297,2.3117,1.4770299999999998,1.4059,1.06136,1.56192,1.85,1.64742,0.906122,1.00273,2.2932900000000003,1.22045,1.40476,1.45055,1.11891,1.73147,2.46667,1.45374,0.925,2.0114900000000002,1.7959200000000002,1.24058,5.2914699999999995,1.63085,0.0,0.0,1038.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.0,0.925,2.06323,1.69333,3.22467,7.690739999999999,1.6898900000000001,1.89032,1.96632,1.6543299999999999,3.08688,4.3311,1.81224,0.8888889999999999,1.19515,0.8222219999999999,1.19565,1.06294,6.35743,2.1453,1.43119,1.59493,1.6304,2.49246,1.2665,1.5141,1.8836400000000002,1.63636,0.0,0.0,5455.0,15.0
0.11875,0.19,0.95,0.2375,0.2375,0.0,0.0,0.0678571,0.0,0.285,0.158333,0.76,0.158333,0.095,0.57,0.19,0.0,13.0,3.0,6.0,1.06781,1.5664200000000001,2.50774,2.65962,2.87451,1.8880700000000001,2.09499,2.6130400000000003,2.97653,0.998726,0.9425709999999999,0.8705879999999999,1.86,1.176,0.939891,1.81595,1.1863299999999999,0.932941,1.42377,0.999467,1.17547,0.8609629999999999,1.04918,0.889524,4.72725,1.67914,1.96,0.0,0.0,214.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,4.0,0.0,0.0,0.0,0.0,1.48492,0.949153,1.31769,0.0,0.0,0.0,0.0,1.41088,0.9155209999999999,1.33333,0.0,0.0,0.0,1.0810799999999998,0.0,1.1504299999999998,0.0,0.0,0.0,0.0,1.2593299999999998,1.05714,1.05714,1.35152,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969999999999,0.875,0.933665,0.0,0.0,0.0,0.0,1.2211299999999998,0.925,1.0,0.0,0.0,0.0,0.8888889999999999,0.0,1.19429,0.0,0.0,0.0,0.0,1.0,1.10107,1.29051,1.04454,0.0,0.0,0.0,0.0
0.0,0.285,0.11875,0.11875,0.0,0.158333,0.095,0.0,0.0,0.095,0.07916669999999999,0.0,0.0,0.0,0.76,0.095,95.0,16.0,35.0,53.0,1.09138,1.26319,1.83525,2.19212,1.80552,1.26481,2.6278799999999998,2.38355,3.33005,1.07692,2.76253,1.2261600000000001,0.8888889999999999,1.71497,0.926845,1.12321,1.03529,1.5249,1.2027299999999999,1.4615200000000002,2.0567900000000003,0.8705879999999999,1.30609,0.994609,1.14228,1.4147100000000001,1.35,0.0,0.0,4794.0,9.0
0.7125,0.475,1.1875,0.35625,0.11875,0.158333,0.095,0.5428569999999999,0.0,0.095,0.475,0.285,0.475,0.0,0.19,0.095,0.0,19.0,10.0,15.0,2.1821200000000003,4.36468,2.35906,2.60145,3.03058,1.5021200000000001,1.6753200000000001,2.77363,1.83253,1.2733299999999999,2.40036,1.55789,1.45265,1.5275,0.9144,3.36447,1.5981100000000001,2.11429,1.0515700000000001,1.9913299999999998,1.5070299999999999,1.7591299999999999,2.0223299999999997,2.18182,15.6783,3.81966,16.6952,0.0,0.0,14.0,1.0
